date,ticker,entry_time_et,trigger_time_et,minutes_to_trigger,gain_pct,above_20pct_duration_min,above_10pct_duration_min,entry_price,trigger_price
2025-03-03,O:SPY250304C00594000,09:56:00,10:44:00,48,25.58,1,2,3.01,3.78
2025-03-03,O:SPY250304C00594000,10:57:00,11:21:00,24,22.26,4,4,2.65,3.24
2025-03-03,O:SPY250304C00594000,11:28:00,12:22:00,54,22.18,2,12,2.57,3.14
2025-03-03,O:SPY250304C00594000,13:27:00,14:03:00,36,20.61,1,2,1.31,1.58
2025-03-03,O:SPY250304C00594000,14:13:00,14:41:00,28,20.44,1,2,1.37,1.65
2025-03-03,O:SPY250304C00594000,15:12:00,15:17:00,5,22.22,1,2,0.36,0.44
2025-03-03,O:SPY250304C00594000,15:28:00,15:31:00,3,20.0,1,2,0.3,0.36
2025-03-03,O:SPY250304C00594000,15:35:00,16:04:00,29,20.0,1,9,0.3,0.36
2025-03-03,O:SPY250304P00593000,09:30:00,09:49:00,18,28.24,53,55,2.16,2.77
2025-03-03,O:SPY250304P00593000,10:45:00,10:48:00,3,27.57,29,33,2.43,3.1
2025-03-03,O:SPY250304P00593000,11:22:00,11:27:00,5,20.23,29,39,2.57,3.09
2025-03-03,O:SPY250304P00593000,12:08:00,12:54:00,46,22.86,158,158,2.8,3.44
2025-03-04,O:SPY250305C00585000,09:32:00,09:38:00,5,25.0,1,3,1.8,2.25
2025-03-04,O:SPY250305C00585000,10:16:00,10:33:00,17,20.24,1,3,0.84,1.01
2025-03-04,O:SPY250305C00585000,10:37:00,12:27:00,110,23.16,2,3,0.95,1.17
2025-03-04,O:SPY250305C00585000,12:31:00,13:08:00,37,20.79,14,20,1.01,1.22
2025-03-04,O:SPY250305C00585000,13:29:00,13:41:00,12,22.52,123,128,1.11,1.36
2025-03-04,O:SPY250305C00585000,15:50:00,16:08:00,17,21.79,6,7,0.78,0.95
2025-03-04,O:SPY250305P00584000,09:30:00,09:50:00,18,21.6,65,67,6.99,8.5
2025-03-04,O:SPY250305P00584000,12:28:00,12:53:00,11,21.23,1,2,7.16,8.68
2025-03-04,O:SPY250305P00584000,13:11:00,13:27:00,4,20.0,1,4,6.4,7.68
2025-03-04,O:SPY250305P00584000,13:46:00,15:50:00,101,30.37,9,9,6.52,8.5
2025-03-05,O:SPY250306C00581000,09:30:00,10:07:00,36,25.17,2,4,3.02,3.78
2025-03-05,O:SPY250306C00581000,10:21:00,10:39:00,18,22.46,1,3,2.36,2.89
2025-03-05,O:SPY250306C00581000,10:43:00,12:40:00,115,21.66,1,5,2.77,3.37
2025-03-05,O:SPY250306C00581000,12:46:00,12:51:00,5,25.0,17,17,2.92,3.65
2025-03-05,O:SPY250306C00581000,13:09:00,13:12:00,2,22.38,6,14,2.86,3.5
2025-03-05,O:SPY250306C00581000,13:27:00,13:58:00,30,21.56,125,126,3.34,4.06
2025-03-05,O:SPY250306P00580000,09:30:00,11:11:00,95,22.56,18,30,6.34,7.77
2025-03-05,O:SPY250306P00580000,12:51:00,13:09:00,18,23.11,1,2,4.11,5.06
2025-03-05,O:SPY250306P00580000,13:13:00,13:32:00,19,25.18,1,1,4.09,5.12
2025-03-05,O:SPY250306P00580000,14:09:00,14:37:00,28,20.0,1,3,2.25,2.7
2025-03-05,O:SPY250306P00580000,14:47:00,15:17:00,30,20.72,1,1,2.22,2.68
2025-03-05,O:SPY250306P00580000,15:25:00,15:50:00,25,21.96,1,2,2.14,2.61
