date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence,regime
2025-09-02,O:SPY250903C00641000,0.94,0.91,-3.1914893617021276,-318.0,Early loss exit,7.0,0.6532233451654886,1
2025-09-02,O:SPY250903P00640000,2.87,2.56,-10.801393728222997,-1054.0,Hard stop,3.0,0.6671564312136101,0
2025-09-02,O:SPY250903P00640000,2.9,2.62,-9.655172413793103,-952.0,Hard stop,4.0,0.6851242479224261,1
2025-09-03,O:SPY250904P00641000,1.65,1.46,-11.515151515151516,-1140.0,Hard stop,3.0,0.6508690716011274,1
2025-09-03,O:SPY250904P00641000,1.68,1.31,-22.023809523809522,-2183.0,Hard stop,6.0,0.6609466923451829,1
2025-09-03,O:SPY250904P00641000,1.34,1.28,-4.477611940298507,-444.0,Early loss exit,6.0,0.6603889038679381,1
2025-09-04,O:SPY250905P00644000,2.08,1.91,-8.173076923076923,-816.0,Hard stop,1.0,0.6512180773011224,1
2025-09-04,O:SPY250905P00644000,2.26,2.14,-5.309734513274324,-527.9999999999987,Early loss exit,9.0,0.6508146804529334,1
2025-09-04,O:SPY250905P00644000,2.55,2.29,-10.19607843137254,-1013.9999999999989,Hard stop,4.0,0.6514218063088193,1
2025-09-05,O:SPY250908P00650000,1.54,1.43,-7.142857142857142,-704.0,Early loss exit,3.0,0.6656846545265103,1
2025-09-05,O:SPY250908P00650000,1.43,1.58,10.48951048951049,1035.0,Trailing stop,6.0,0.6594493324234706,1
2025-09-05,O:SPY250908P00650000,1.58,2.89,82.91139240506328,8253.0,Trailing stop,16.0,0.6955765850241472,1
2025-09-09,O:SPY250910P00649000,1.79,1.71,-4.4692737430167595,-440.0,Early loss exit,7.0,0.654771487726495,1
2025-09-09,O:SPY250910P00649000,1.72,2.11,22.674418604651162,2262.0,Trailing stop,20.0,0.6654386210595624,1
2025-09-09,O:SPY250910P00649000,1.98,1.75,-11.616161616161616,-1150.0,Hard stop,4.0,0.6517228228798074,1
2025-09-10,O:SPY250911P00652000,1.58,1.37,-13.291139240506327,-1323.0,Hard stop,6.0,0.6570663621029816,1
2025-09-10,O:SPY250911P00652000,1.72,1.54,-10.465116279069768,-1044.0,Hard stop,5.0,0.6622550168066889,1
2025-09-16,O:SPY250917P00661000,2.46,2.54,3.2520325203252036,320.0,Trailing stop,32.0,0.6868133679132131,1
2025-09-16,O:SPY250917P00661000,2.98,2.72,-8.724832214765101,-858.0,Hard stop,78.0,0.6553180832302484,1
2025-09-17,O:SPY250918P00660000,3.13,2.85,-8.945686900958465,-868.0,Hard stop,4.0,0.6532961549778306,1
2025-09-17,O:SPY250918P00660000,3.96,3.57,-9.848484848484848,-975.0,Hard stop,3.0,0.6545997505101738,3
2025-09-17,O:SPY250918C00661000,1.86,1.73,-6.989247311827956,-689.0,Trailing stop,11.0,0.654374766789093,3
2025-09-18,O:SPY250919P00663000,4.98,4.2,-15.662650602409647,-1560.0000000000011,Hard stop,2.0,0.6696838006809865,1
2025-09-18,O:SPY250919P00663000,2.9,2.54,-12.413793103448276,-1224.0,Hard stop,25.0,0.6528436241110018,1
2025-09-23,O:SPY250924P00666000,1.47,1.77,20.408163265306122,2040.0,Trailing stop,48.0,0.6521376000606842,1
2025-09-23,O:SPY250924P00666000,3.01,3.63,20.59800664451827,2046.0,Trailing stop,10.0,0.6522217478776718,1
2025-09-23,O:SPY250924C00667000,0.4,0.39,-2.5,-250.0,Trailing stop,10.0,0.6629509482117094,1
2025-09-24,O:SPY250925P00663000,2.03,1.84,-9.359605911330036,-930.9999999999986,Hard stop,6.0,0.6651440013869093,1
