date,ticker,entry_price,exit_price,pnl_pct,pnl_usd,exit_reason,time_in_trade,confidence
2025-09-02,O:SPY250903C00641000,0.9,0.9,0.0,0.0,Trailing stop,15.0,0.6606284664087826
2025-09-02,O:SPY250903P00640000,2.87,2.53,-11.846689895470393,-1156.000000000001,Trailing stop,13.0,0.6620580614883605
2025-09-02,O:SPY250903P00640000,3.09,2.68,-13.268608414239482,-1312.0,Hard stop,4.0,0.682071272795732
2025-09-05,O:SPY250908P00650000,1.94,2.89,48.96907216494845,4845.0,Trailing stop,13.0,0.6662869370678287
2025-09-05,O:SPY250908C00651000,0.56,0.46,-17.85714285714287,-1780.0000000000014,Hard stop,2.0,0.7390022578823755
2025-09-05,O:SPY250908C00651000,0.47,0.41,-12.76595744680851,-1272.0,Hard stop,4.0,0.7507650865063988
2025-09-09,O:SPY250910P00649000,2.5,2.11,-15.6,-1560.0,Hard stop,3.0,0.6776515538488223
2025-09-16,O:SPY250917P00661000,2.45,2.54,3.6734693877550897,359.99999999999886,Trailing stop,31.0,0.6506012356657818
2025-09-17,O:SPY250918P00660000,4.2,4.08,-2.857142857142857,-276.0,Trailing stop,6.0,0.6513068936200549
2025-09-17,O:SPY250918P00660000,4.84,4.08,-15.702479338842975,-1520.0,Hard stop,1.0,0.6559156303547806
2025-09-17,O:SPY250918C00661000,1.18,0.82,-30.508474576271187,-3024.0,Hard stop,2.0,0.7380583609485826
2025-09-23,O:SPY250924C00667000,0.4,0.39,-2.5,-250.0,Trailing stop,10.0,0.6841088756150441
2025-09-24,O:SPY250925P00663000,2.99,3.23,8.02675585284281,792.0,Trailing stop,26.0,0.6644919127413238
2025-09-25,O:SPY250926P00661000,6.29,5.31,-15.580286168521463,-1470.0,Hard stop,7.0,0.6687245627314966
2025-10-01,O:SPY251002C00662000,3.6,3.75,4.166666666666666,405.0,Trailing stop,15.0,0.679397348742874
2025-10-01,O:SPY251002P00661000,1.19,1.03,-13.445378151260504,-1344.0,Hard stop,4.0,0.6760684159825984
2025-10-01,O:SPY251002P00661000,1.03,0.89,-13.592233009708737,-1358.0,Hard stop,9.0,0.6557996104158362
2025-10-02,O:SPY251003P00669000,1.95,1.78,-8.717948717948717,-867.0,Trailing stop,16.0,0.6638354112925434
2025-10-02,O:SPY251003C00670000,1.4,1.22,-12.857142857142856,-1278.0,Hard stop,5.0,0.6665240865443026
2025-10-02,O:SPY251003C00670000,1.06,0.92,-13.20754716981132,-1316.0,Hard stop,11.0,0.6531156304121789
2025-10-03,O:SPY251006C00672000,1.3,1.64,26.153846153846157,2584.0,Trailing stop,39.0,0.6503243156330369
2025-10-03,O:SPY251006C00672000,1.63,1.42,-12.883435582822086,-1281.0,Hard stop,33.0,0.6513880666524144
2025-10-03,O:SPY251006C00672000,1.53,1.64,7.18954248366013,715.0,Trailing stop,64.0,0.6810964375683192
2025-10-06,O:SPY251007P00670000,1.57,1.59,1.2738853503184715,126.0,Trailing stop,18.0,0.6571762479385442
2025-10-06,O:SPY251007C00671000,1.34,1.75,30.597014925373134,3034.0,Time limit,119.0,0.6795313404228697
2025-10-06,O:SPY251007C00671000,1.77,2.15,21.468926553672315,2128.0,Time limit,119.0,0.6615981821752513
2025-10-07,O:SPY251008C00671000,1.76,1.54,-12.5,-1232.0,Hard stop,13.0,0.653892535999599
2025-10-07,O:SPY251008C00671000,1.64,1.4,-14.634146341463413,-1440.0,Hard stop,6.0,0.6574466911827268
2025-10-07,O:SPY251008C00671000,1.25,1.09,-12.79999999999999,-1279.9999999999989,Hard stop,17.0,0.661913344122604
2025-10-08,O:SPY251009C00671000,1.58,2.09,32.278481012658226,3213.0,Trailing stop,49.0,0.6633990389502095
2025-10-09,O:SPY251010C00674000,1.05,0.91,-13.333333333333334,-1330.0,Hard stop,4.0,0.6678517268104405
2025-10-09,O:SPY251010P00673000,2.38,2.03,-14.705882352941188,-1470.0000000000011,Hard stop,5.0,0.6657240871947568
2025-10-09,O:SPY251010C00674000,1.02,0.88,-13.725490196078432,-1372.0,Hard stop,10.0,0.6832110357266913
2025-10-10,O:SPY251013P00671000,1.28,1.2,-6.25,-624.0,Trailing stop,10.0,0.6548187938404028
2025-10-10,O:SPY251013P00671000,1.9,5.09,167.89473684210526,16588.0,Trailing stop,5.0,0.691354487428297
2025-10-10,O:SPY251013C00672000,0.85,0.82,-3.5294117647058822,-351.0,Trailing stop,10.0,0.7531328094548759
2025-10-13,O:SPY251014C00662000,2.69,3.15,17.100371747211895,1702.0,Trailing stop,38.0,0.6651460861124745
2025-10-13,O:SPY251014C00662000,3.26,2.81,-13.803680981595093,-1350.0,Hard stop,3.0,0.6589480803690321
2025-10-13,O:SPY251014P00661000,2.83,2.91,2.8268551236749118,280.0,Trailing stop,12.0,0.6676559301088885
2025-10-14,O:SPY251015P00659000,6.34,5.54,-12.618296529968454,-1200.0,Hard stop,7.0,0.6544042531088824
2025-10-14,O:SPY251015C00660000,1.57,2.9,84.71337579617835,8379.0,Trailing stop,81.0,0.6548142782974883
2025-10-14,O:SPY251015P00659000,2.64,2.3,-12.87878787878789,-1258.0000000000011,Hard stop,6.0,0.6582325271460561
2025-10-15,O:SPY251016P00665000,2.5,2.72,8.799999999999999,880.0,Trailing stop,11.0,0.6623821608722491
2025-10-15,O:SPY251016C00666000,2.48,2.35,-5.241935483870968,-520.0,Trailing stop,38.0,0.6791536613246909
2025-10-15,O:SPY251016C00666000,2.5,2.08,-16.8,-1680.0,Hard stop,8.0,0.6692923698271483
